rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
144,django unchained,2012,drama western,english,85.0,85.0,1777847,81.0,80.0,251,88.0,1025468,86,2213921,92.0,tt1853728,85.33,8.0
145,strangers on a train,1951,crime thriller,english,85.0,79.0,145086,88.0,88.0,53,88.0,68681,82,134227,87.0,tt0044079,85.33,0.0
146,the manchurian candidate,1962,thriller drama,english,85.0,79.0,82236,94.0,90.0,55,86.0,36997,80,48018,83.0,tt0056218,85.33,4.0
147,howls moving castle,2004,fantasy animation adventure,japanese,84.0,82.0,478277,82.0,77.0,124,90.0,578280,86,1640560,95.0,tt0347149,85.33,13.0
148,trainspotting,1996,drama crime,english,85.0,81.0,746303,83.0,83.0,67,89.0,500240,84,872482,92.0,tt0117951,85.33,6.0
149,on the waterfront,1954,crime drama romance,english,84.0,81.0,171135,91.0,92.0,72,91.0,73211,84,114779,72.0,tt0047296,85.17,1.0
150,annie hall,1977,comedy drama romance,english,84.0,79.0,283270,92.0,91.0,83,88.0,192804,80,270384,80.0,tt0075686,85.0,3.0
151,the tale of the princess kaguya,2013,animation drama fantasy,japanese,84.0,80.0,57724,89.0,85.0,75,87.0,79846,84,211180,85.0,tt2576852,85.0,2.0
152,dog day afternoon,1975,crime drama thriller,english,85.0,80.0,280757,86.0,86.0,67,87.0,187550,86,341549,85.0,tt0072890,85.0,1.0
153,marriage story,2019,drama,english,85.0,79.0,359338,94.0,90.0,236,83.0,391797,80,1162129,84.0,tt7653254,85.0,7.0
154,million dollar baby,2004,drama,english,84.0,81.0,743174,86.0,85.0,155,87.0,382716,80,337065,91.0,tt0405159,85.0,2.0
155,the maltese falcon,1941,mystery crime thriller,english,84.0,79.0,170463,97.0,93.0,77,87.0,79699,78,122938,76.0,tt0033870,85.0,6.0
156,13th,2016,documentary,english,85.0,82.0,38435,81.0,86.0,63,88.0,38816,86,109670,87.0,tt5895028,85.0,2.0
157,the kings speech,2010,drama history,english,84.0,80.0,719923,88.0,87.0,218,88.0,226990,76,391088,91.0,tt1504320,85.0,1.0
158,downfall,2004,drama history war,german,84.0,82.0,386690,82.0,81.0,76,90.0,87605,82,121453,93.0,tt0363163,85.0,9.0
159,the diving bell and the butterfly,2007,drama history,french,84.0,80.0,111563,92.0,85.0,109,88.0,115668,82,46838,83.0,tt0401383,85.0,3.0
160,coco,2017,family animation music adventure,english,84.0,84.0,643266,81.0,83.0,213,91.0,693918,82,2021496,89.0,tt2380307,85.0,8.0
161,amour,2012,drama romance,french,85.0,79.0,108046,95.0,89.0,180,81.0,53864,84,119569,81.0,tt1602620,84.83,8.0
162,the straight story,1999,drama,english,84.0,80.0,103337,86.0,83.0,74,87.0,59890,84,116409,89.0,tt0166896,84.83,4.0
163,the french connection,1971,action crime thriller,english,85.0,77.0,143317,94.0,90.0,64,84.0,81276,80,154622,84.0,tt0067116,84.83,6.0
164,young frankenstein,1974,comedy,english,84.0,80.0,174783,83.0,85.0,55,88.0,198530,80,176284,93.0,tt0072431,84.83,3.0
165,a hard days night,1964,comedy music,english,84.0,75.0,49501,96.0,88.0,65,85.0,62888,76,87602,89.0,tt0058182,84.83,3.0
166,the irishman,2019,crime drama history,english,85.0,78.0,450758,94.0,90.0,280,83.0,255684,78,745713,86.0,tt1302006,84.83,7.0
167,free solo,2018,documentary adventure,english,84.0,81.0,81251,83.0,82.0,92,89.0,61687,82,178659,92.0,tt7775622,84.83,7.0
